logID,fightID,encounterID,sourceID,timestamp.x,abilityGameID.x,delayms.x,row_number,timestamp.y,abilityGameID.y,delayms.y,indicator,total_delay,encounterName
19cG8bnr2K6JDVPa,42,100732,16,9824124,1,709,8,9824336,75,212,1,921,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9831736,27014,309,9,9832642,34120,906,1,1215,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9835426,1,438,10,9835663,75,237,1,675,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9876398,27014,627,12,9878030,75,1632,1,2259,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9884164,27014,599,13,9885066,34120,902,1,1501,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9888065,1,406,14,9888288,75,223,1,629,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9891838,27014,687,15,9892379,34120,541,1,1228,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9891849,1,698,16,9892379,34120,530,1,1228,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,44,100730,16,9990301,27014,332,1,9991176,75,875,1,1207,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,9993874,1,1560,2,9994118,75,244,1,1804,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,9996153,1,938,3,9996496,75,343,1,1281,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,9999016,27014,203,4,9999837,75,821,1,1024,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10001465,1,507,5,10001780,75,315,1,822,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10003706,1,820,6,10003939,75,233,1,1053,<b><span style='color:#990033;'>Al&#39;ar</span></b>
